soma_joinid	citation	collection_id	collection_name	collection_doi	dataset_id	dataset_version_id	dataset_title	dataset_h5ad_path	dataset_total_cell_count
192	Publication: https://doi.org/10.1126/science.abl4896 Dataset Version: https://datasets.cellxgene.cziscience.com/187c4e5e-8d9f-416e-a888-0ee1b798fdb8.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5	e5f58829-1a66-40b5-a624-9046778e74f5	Tabula Sapiens	10.1126/science.abl4896	6d41668c-168c-4500-b06a-4674ccf3e19d	187c4e5e-8d9f-416e-a888-0ee1b798fdb8	Tabula Sapiens - Liver	6d41668c-168c-4500-b06a-4674ccf3e19d.h5ad	5007
193	Publication: https://doi.org/10.1038/s41467-020-18957-w Dataset Version: https://datasets.cellxgene.cziscience.com/290ac0fc-8b51-456c-9f16-24146eaed89b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/db468083-041c-41ca-8f6f-bf991a070adf	db468083-041c-41ca-8f6f-bf991a070adf	Stress-induced RNA–chromatin interactions promote endothelial dysfunction	10.1038/s41467-020-18957-w	42b6a476-c51d-4f8b-b68b-44941b3a11bf	290ac0fc-8b51-456c-9f16-24146eaed89b	scRNA-seq data analysis of endothelium-enriched mesenteric arterial tissues from human donors	42b6a476-c51d-4f8b-b68b-44941b3a11bf.h5ad	11243
194	Publication: https://doi.org/10.1038/s41598-020-66092-9 Dataset Version: https://datasets.cellxgene.cziscience.com/addb2f04-24e8-49ee-b082-77e6c69fc1ff.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1d1c7275-476a-49e2-9022-ad1b1c793594	1d1c7275-476a-49e2-9022-ad1b1c793594	Cell Atlas of The Human Fovea and Peripheral Retina	10.1038/s41598-020-66092-9	5cdbb2ea-c622-466d-9ead-7884ad8cb99f	addb2f04-24e8-49ee-b082-77e6c69fc1ff	Amacrine cells of the human fovea and peripheral retina	5cdbb2ea-c622-466d-9ead-7884ad8cb99f.h5ad	13607
195	Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/f21bac29-9aa9-4fb4-b609-c1019c8ce791.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1	29f92179-ca10-4309-a32b-d383d80347c1	Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19	10.1016/j.immuni.2021.03.005	db59611b-42de-4035-93aa-1ed39f38b467	f21bac29-9aa9-4fb4-b609-c1019c8ce791	49 years old male - Fresh PBMCs (2 days post-intubation)	db59611b-42de-4035-93aa-1ed39f38b467.h5ad	11574
196	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/860440bb-61bd-4aa3-b7bb-e7a6265f6b70.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	76544818-bc5b-4a0d-87d4-40dde89545cb	860440bb-61bd-4aa3-b7bb-e7a6265f6b70	Adipose tissue — A single-cell transcriptomic atlas characterizes ageing tissues in the mouse	76544818-bc5b-4a0d-87d4-40dde89545cb.h5ad	6777
197	Publication: https://doi.org/10.1016/j.cell.2019.08.008 Dataset Version: https://datasets.cellxgene.cziscience.com/fb55e3d2-3d2b-4c26-9371-4e5ae08d5da6.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/2b02dff7-e427-4cdc-96fb-c0f354c099aa	2b02dff7-e427-4cdc-96fb-c0f354c099aa	Single-Cell Analysis of Crohn’s Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to Anti-TNF Therapy	10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da	fb55e3d2-3d2b-4c26-9371-4e5ae08d5da6	Ileum	36c867a7-be10-4e69-9b39-5de12b0af6da.h5ad	32458
198	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/3415bfb7-ecc6-47c2-b13e-ae7271ea93f4.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	1a018108-b4b6-457b-ba15-046d5e98c169	3415bfb7-ecc6-47c2-b13e-ae7271ea93f4	Dissection: Myelencephalon (medulla oblongata) (Mo) - precerebellar nuclei (PrCbN) - inferior olive - IO	1a018108-b4b6-457b-ba15-046d5e98c169.h5ad	21534
199	Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/4c54654e-b179-462f-a0a1-bcfd83b1a6ad.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1	29f92179-ca10-4309-a32b-d383d80347c1	Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19	10.1016/j.immuni.2021.03.005	eeacb0c1-2217-4cf6-b8ce-1f0fedf1b569	4c54654e-b179-462f-a0a1-bcfd83b1a6ad	49 years old male - Fresh PBMCs (3 days post-intubation)	eeacb0c1-2217-4cf6-b8ce-1f0fedf1b569.h5ad	9337
200	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/ce794fc1-5a51-4e58-a626-4bafcf1d0541.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	c9096ac4-ea44-4cf9-82f4-af05cb83eb24	ce794fc1-5a51-4e58-a626-4bafcf1d0541	Tongue - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	c9096ac4-ea44-4cf9-82f4-af05cb83eb24.h5ad	3735
201	Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/44703324-8d6c-44c2-958d-8d16f5eb4054.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6	180bff9c-c8a5-4539-b13b-ddbc00d643e6	Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease	10.1038/s41593-020-00764-7	2727d83a-0af0-443a-bff8-58dc7028289a	44703324-8d6c-44c2-958d-8d16f5eb4054	Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: Entorhinal Cortex	2727d83a-0af0-443a-bff8-58dc7028289a.h5ad	42528
202	Dataset Version: https://datasets.cellxgene.cziscience.com/1c3bf5eb-8400-4780-b607-696443756f65.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/cae8bad0-39e9-4771-85a7-822b0e06de9f	cae8bad0-39e9-4771-85a7-822b0e06de9f	Protracted Neuronal Recruitment in the Temporal Lobe of Young Children		24584be9-d3d5-49c3-a042-99c18fe324db	1c3bf5eb-8400-4780-b607-696443756f65	EC Stream Region at 14 days of age	24584be9-d3d5-49c3-a042-99c18fe324db.h5ad	7618
203	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/ecf01f59-ec83-4fae-ac9c-9b5d313df2c7.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	00476f9f-ebc1-4b72-b541-32f912ce36ea	ecf01f59-ec83-4fae-ac9c-9b5d313df2c7	Dissection: Hypothalamus (HTH) - mammillary region of HTH (HTHma)	00476f9f-ebc1-4b72-b541-32f912ce36ea.h5ad	10099
204	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/9dc91933-bd89-48e5-a71b-7dbcc5ed4757.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	6e4f871d-fd7c-4909-8c14-e4c9957c2e8f	9dc91933-bd89-48e5-a71b-7dbcc5ed4757	Thymus - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x	6e4f871d-fd7c-4909-8c14-e4c9957c2e8f.h5ad	9275
205	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/d82c0cb9-7fdd-4df5-b364-f45fdc9a5065.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	1d29fd10-c8b3-4611-b0ac-3c578125adbf	d82c0cb9-7fdd-4df5-b364-f45fdc9a5065	Skin of body - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	1d29fd10-c8b3-4611-b0ac-3c578125adbf.h5ad	4860
206	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/f45fc70f-ccd6-431b-8a11-98a793161b6c.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	77044335-0ac5-4406-9b3f-8cdd3656d67b	f45fc70f-ccd6-431b-8a11-98a793161b6c	Dissection: Pons (Pn) - afferent nuclei of cranial nerves in pons - PnAN	77044335-0ac5-4406-9b3f-8cdd3656d67b.h5ad	23349
207	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/68828b8a-da3a-46a5-918d-24a7ceba3f83.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	adda0684-f8ea-4403-b393-2a25607077c4	68828b8a-da3a-46a5-918d-24a7ceba3f83	Dissection: Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - medial geniculate nuclei (MG)	adda0684-f8ea-4403-b393-2a25607077c4.h5ad	14226
208	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/e7218cb6-9df7-461e-8425-d8c3ddca9392.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	6202a243-b713-4e12-9ced-c387f8483dea	e7218cb6-9df7-461e-8425-d8c3ddca9392	Liver - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x	6202a243-b713-4e12-9ced-c387f8483dea.h5ad	7294
209	Publication: https://doi.org/10.1126/science.abo1984 Dataset Version: https://datasets.cellxgene.cziscience.com/482dd0e7-16ae-4ecf-a4b9-eecd822f59d4.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb	e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb	Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies	10.1126/science.abo1984	83b5e943-a1d5-4164-b3f2-f7a37f01b524	482dd0e7-16ae-4ecf-a4b9-eecd822f59d4	DCM/ACM heart cell atlas: Neuronal cells	83b5e943-a1d5-4164-b3f2-f7a37f01b524.h5ad	7999
210	Publication: https://doi.org/10.1038/nn.4216 Dataset Version: https://datasets.cellxgene.cziscience.com/e48806af-87d1-45ae-843a-c7ee06eac672.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a3c37598-b8e8-47db-92a9-eb91a77c9529	a3c37598-b8e8-47db-92a9-eb91a77c9529	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	10.1038/nn.4216	3a15ab1c-c36c-4842-9a3e-47e6ffd0ba6f	e48806af-87d1-45ae-843a-c7ee06eac672	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	3a15ab1c-c36c-4842-9a3e-47e6ffd0ba6f.h5ad	1679
211	Publication: https://doi.org/10.1038/s41586-020-2907-3 Dataset Version: https://datasets.cellxgene.cziscience.com/d7e86fbd-f606-48c1-af99-a12c10a615f2.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/20a1dadf-a3a7-4783-b311-fcff3c457763	20a1dadf-a3a7-4783-b311-fcff3c457763	Phenotypic variation of transcriptomic cell types in mouse motor cortex	10.1038/s41586-020-2907-3	9bb9596d-f23f-4558-912f-d4dc7d52721b	d7e86fbd-f606-48c1-af99-a12c10a615f2	CGE-derived interneurons integrated with 10X sequencing MOp data	9bb9596d-f23f-4558-912f-d4dc7d52721b.h5ad	15511
212	Publication: https://doi.org/10.1038/s41586-020-2907-3 Dataset Version: https://datasets.cellxgene.cziscience.com/3d04a6eb-2cd8-4546-9f79-61f739fe503e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/20a1dadf-a3a7-4783-b311-fcff3c457763	20a1dadf-a3a7-4783-b311-fcff3c457763	Phenotypic variation of transcriptomic cell types in mouse motor cortex	10.1038/s41586-020-2907-3	42ff5b55-b848-4f4c-b7cb-b8aac107841c	3d04a6eb-2cd8-4546-9f79-61f739fe503e	MGE-derived interneurons integrated with 10X sequencing MOp data	42ff5b55-b848-4f4c-b7cb-b8aac107841c.h5ad	12083
213	Publication: https://doi.org/10.15252/embj.20105114 Dataset Version: https://datasets.cellxgene.cziscience.com/6c196557-a648-4e15-bb52-f99686c133d1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/6ff3401b-d72c-4940-a00c-3f0792397082	6ff3401b-d72c-4940-a00c-3f0792397082	SARS-CoV-2 receptor ACE2 and TMPRSS2 are primarily expressed in bronchial transient secretory cells	10.15252/embj.20105114	8fcf0ccc-67b2-43a3-90be-075f85169bef	6c196557-a648-4e15-bb52-f99686c133d1	Airway	8fcf0ccc-67b2-43a3-90be-075f85169bef.h5ad	17451
214	Publication: https://doi.org/10.1073/pnas.2023333118 Dataset Version: https://datasets.cellxgene.cziscience.com/00ae06d3-2c07-4e18-8db0-51219b153113.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/e02201d7-f49f-401f-baf0-1eb1406546c0	e02201d7-f49f-401f-baf0-1eb1406546c0	Early role for a Na+,K+-ATPase (ATP1A3) in brain development	10.1073/pnas.2023333118	82f6af6d-5313-439a-9936-5e844be49a70	00ae06d3-2c07-4e18-8db0-51219b153113	Infant human neocortex cells	82f6af6d-5313-439a-9936-5e844be49a70.h5ad	51878
215	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/a7334adc-f8e7-4430-92a7-c807db68fd5e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	fbf173f9-f809-4d84-9b65-ae205d35b523	a7334adc-f8e7-4430-92a7-c807db68fd5e	Dissection: Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus + ventral posterior lateral nucleus - LP + VPL	fbf173f9-f809-4d84-9b65-ae205d35b523.h5ad	17660
216	Publication: https://doi.org/10.1038/s41598-020-66092-9 Dataset Version: https://datasets.cellxgene.cziscience.com/cbb83404-b0f3-4805-ad6e-8386fb8f6ff1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1d1c7275-476a-49e2-9022-ad1b1c793594	1d1c7275-476a-49e2-9022-ad1b1c793594	Cell Atlas of The Human Fovea and Peripheral Retina	10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d	cbb83404-b0f3-4805-ad6e-8386fb8f6ff1	Bipolar cells of the human fovea and peripheral retina	8623d55f-d91c-41c2-ae68-ed2072fd268d.h5ad	25908
217	Publication: https://doi.org/10.1038/s41588-022-01243-4 Dataset Version: https://datasets.cellxgene.cziscience.com/f6683722-777c-4172-900b-047d61c2605a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c	c1241244-b22d-483d-875b-75699efb9f3c	A spatially resolved atlas of the human lung characterizes a gland-associated immune niche	10.1038/s41588-022-01243-4	b3d060c6-bbd7-4db0-9ef7-9df42475875a	f6683722-777c-4172-900b-047d61c2605a	Lymphoid cells	b3d060c6-bbd7-4db0-9ef7-9df42475875a.h5ad	37502
218	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/4872ab2f-2fe8-4e9f-9920-f1126a5f7c1d.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	ca20e2ac-5676-4158-b5d0-0c2b15898b19	4872ab2f-2fe8-4e9f-9920-f1126a5f7c1d	Dissection: Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi	ca20e2ac-5676-4158-b5d0-0c2b15898b19.h5ad	33968
219	Publication: https://doi.org/10.1016/j.celrep.2023.111994 Dataset Version: https://datasets.cellxgene.cziscience.com/e189979c-9eaf-4827-8d02-e02da9b63663.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/6d203948-a779-4b69-9b3f-1ee1dadc3980	6d203948-a779-4b69-9b3f-1ee1dadc3980	Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin	10.1016/j.celrep.2023.111994	de94c504-4b58-4f42-b68d-74a8e4892f0e	e189979c-9eaf-4827-8d02-e02da9b63663	UMAP visualization of all 12 datasets	de94c504-4b58-4f42-b68d-74a8e4892f0e.h5ad	15243
220	Publication: https://doi.org/10.1016/j.cell.2021.11.031 Dataset Version: https://datasets.cellxgene.cziscience.com/4973ec05-e355-40fc-9f72-56423c12aae9.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd	a48f5033-3438-4550-8574-cdff3263fdfd	HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps	10.1016/j.cell.2021.11.031	6a270451-b4d9-43e0-aa89-e33aac1ac74b	4973ec05-e355-40fc-9f72-56423c12aae9	VAL and DIS datasets: Non-Epithelial	6a270451-b4d9-43e0-aa89-e33aac1ac74b.h5ad	10696
221	Publication: https://doi.org/10.1038/s41467-022-29450-x Dataset Version: https://datasets.cellxgene.cziscience.com/4510feb6-c111-4c1f-8ee0-55c21935fbbc.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/bf325905-5e8e-42e3-933d-9a9053e9af80	bf325905-5e8e-42e3-933d-9a9053e9af80	Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses	10.1038/s41467-022-29450-x	d7d7e89c-c93a-422d-8958-9b4a90b69558	4510feb6-c111-4c1f-8ee0-55c21935fbbc	Activated PBMCs - Twins scRNA-seq	d7d7e89c-c93a-422d-8958-9b4a90b69558.h5ad	16901
222	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/16401c7d-767d-47a4-a97f-a9a82dbce2a9.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	1fe63353-9e75-4824-aa30-ed8d84be748c	16401c7d-767d-47a4-a97f-a9a82dbce2a9	Heart - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x	1fe63353-9e75-4824-aa30-ed8d84be748c.h5ad	8613
223	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/7e6d446d-dba7-4bab-a010-3fa89b096523.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	bd6b68e8-179a-42f0-9bde-b4fdf7d34dd1	7e6d446d-dba7-4bab-a010-3fa89b096523	Supercluster: Cerebellar inhibitory	bd6b68e8-179a-42f0-9bde-b4fdf7d34dd1.h5ad	14411
224	Publication: https://doi.org/10.1038/s41598-020-66092-9 Dataset Version: https://datasets.cellxgene.cziscience.com/3995d213-9533-4be2-a441-c2b76c39a51d.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1d1c7275-476a-49e2-9022-ad1b1c793594	1d1c7275-476a-49e2-9022-ad1b1c793594	Cell Atlas of The Human Fovea and Peripheral Retina	10.1038/s41598-020-66092-9	bc7260e0-54cf-4b0b-823d-93f5b850f757	3995d213-9533-4be2-a441-c2b76c39a51d	Non-neuronal cells of the human fovea and peripheral retina	bc7260e0-54cf-4b0b-823d-93f5b850f757.h5ad	22125
225	Publication: https://doi.org/10.1038/s41588-024-01688-9 Dataset Version: https://datasets.cellxgene.cziscience.com/93bc4573-ef9c-4408-bc9a-1dc3da278e8d.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/48259aa8-f168-4bf5-b797-af8e88da6637	48259aa8-f168-4bf5-b797-af8e88da6637	Human breast cell atlas	10.1038/s41588-024-01688-9	24ec2dc5-3573-4d66-a9e1-25b7dcf43e27	93bc4573-ef9c-4408-bc9a-1dc3da278e8d	HBCA - immune	24ec2dc5-3573-4d66-a9e1-25b7dcf43e27.h5ad	25382
226	Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/5b918503-ab77-42f9-aaab-8d4b6102dbde.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc	b9fc3d70-5a72-4479-a046-c2cc1ab19efc	A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses	10.1016/j.isci.2021.103115	d9b4bc69-ed90-4f5f-99b2-61b0681ba436	5b918503-ab77-42f9-aaab-8d4b6102dbde	B Cell/Plasmablast Sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets	d9b4bc69-ed90-4f5f-99b2-61b0681ba436.h5ad	20000
227	Publication: https://doi.org/10.1101/2022.02.18.481097 Dataset Version: https://datasets.cellxgene.cziscience.com/2811356b-b2cb-42aa-a755-2f5cbf5cbe1c.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d5cad3f0-56b6-4fbe-8f2b-be92a8c7820f	d5cad3f0-56b6-4fbe-8f2b-be92a8c7820f	Developmental trajectories of thalamic nuclei revealed by single-cell transcriptome profiling and Shh perturbation	10.1101/2022.02.18.481097	f71f046d-ea2d-4470-ac38-572cbb06ee12	2811356b-b2cb-42aa-a755-2f5cbf5cbe1c	e18.5 thalamic nuclei	f71f046d-ea2d-4470-ac38-572cbb06ee12.h5ad	10811
228	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/75b9f095-98c3-4180-87d2-83db55b9cc61.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	090da8ea-46e8-40df-bffc-1f78e1538d27	75b9f095-98c3-4180-87d2-83db55b9cc61	Dissection: Spinal cord - SpC	090da8ea-46e8-40df-bffc-1f78e1538d27.h5ad	24190
229	Publication: https://doi.org/10.1016/j.celrep.2019.12.082 Dataset Version: https://datasets.cellxgene.cziscience.com/5fb874ac-2483-4024-be57-d36f4940e79c.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	4e38f019-f8e8-44ae-ad32-ba500de6f64c	5fb874ac-2483-4024-be57-d36f4940e79c	Bipolar cells of human eye	4e38f019-f8e8-44ae-ad32-ba500de6f64c.h5ad	16540
230	Publication: https://doi.org/10.1126/science.aat5031 Dataset Version: https://datasets.cellxgene.cziscience.com/e1ddc523-4756-463c-b123-50ce04cafdc4.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/120e86b4-1195-48c5-845b-b98054105eec	120e86b4-1195-48c5-845b-b98054105eec	Spatiotemporal immune zonation of the human kidney	10.1126/science.aat5031	08073b32-d389-41f4-a4fd-616de76915ab	e1ddc523-4756-463c-b123-50ce04cafdc4	Fetal kidney dataset: nephron	08073b32-d389-41f4-a4fd-616de76915ab.h5ad	10790
231	Publication: https://doi.org/10.1182/blood.2021013442 Dataset Version: https://datasets.cellxgene.cziscience.com/4113f438-5e11-4155-b31b-2af9ab151e18.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/10ec9198-584e-4a7e-8a24-4a332915a4ef	10ec9198-584e-4a7e-8a24-4a332915a4ef	HTAN-CHOP - Single-cell multiomics reveals increased plasticity, resistant populations, and stem-cell–like blasts in KMT2A-rearranged leukemia	10.1182/blood.2021013442	738942eb-ac72-44ff-a64b-8943b5ecd8d9	4113f438-5e11-4155-b31b-2af9ab151e18	Normal immune cells landscape of infant KMT2Ar B-ALL	738942eb-ac72-44ff-a64b-8943b5ecd8d9.h5ad	36313
