soma_joinid	citation	collection_id	collection_name	collection_doi	collection_doi_label	dataset_id	dataset_version_id	dataset_title	dataset_h5ad_path	dataset_total_cell_count
483	Publication: https://doi.org/10.1038/s41586-024-07251-0 Dataset Version: https://datasets.cellxgene.cziscience.com/a8af4822-11fd-4b5d-8cca-a5d09a9d4e4a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743	4fa07e63-f712-4d8c-b885-2c515b5e2743	Immune microniches shape intestinal Treg function	10.1038/s41586-024-07251-0	Gu et al. (2024) Nature	0d49001d-cc88-4b70-8f0c-f1ca385d0199	a8af4822-11fd-4b5d-8cca-a5d09a9d4e4a	3B_Hh.anti_IL10r	0d49001d-cc88-4b70-8f0c-f1ca385d0199.h5ad	4992
484	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/33c1f3b4-536a-49a6-b265-4caac94f7314.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	88b7da92-178d-4f27-bc18-b0165b256c67	33c1f3b4-536a-49a6-b265-4caac94f7314	Spatial transcriptomics in the healthy human kidney: Puck_200903_13	88b7da92-178d-4f27-bc18-b0165b256c67.h5ad	44588
485	Publication: https://doi.org/10.1038/s41591-024-03215-z Dataset Version: https://datasets.cellxgene.cziscience.com/39cb67d3-b63a-4b52-94c3-c9f2a38dc11a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a96133de-e951-4e2d-ace6-59db8b3bfb1d	a96133de-e951-4e2d-ace6-59db8b3bfb1d	HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment	10.1038/s41591-024-03215-z	Klughammer et al. (2024) Nat Med	ff4cfa86-9c0c-4b7c-abd6-90547657d04f	39cb67d3-b63a-4b52-94c3-c9f2a38dc11a	HTAPP-213-SMP-6752 scRNA-seq	ff4cfa86-9c0c-4b7c-abd6-90547657d04f.h5ad	9799
486	Publication: https://doi.org/10.1038/s41593-022-01183-6 Dataset Version: https://datasets.cellxgene.cziscience.com/dcfe419f-237c-4c48-8e86-34e7f141e819.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0faa1af6-e504-4b88-a47b-69347e1bace5	0faa1af6-e504-4b88-a47b-69347e1bace5	Single-cell transcriptomics characterization of oligodendrocytes and microglia in white matter aging	10.1038/s41593-022-01183-6	Kaya et al. (2022) Nat Neurosci	6347cc90-f284-41d8-a131-db4a37bd796f	dcfe419f-237c-4c48-8e86-34e7f141e819	Single-cell of aged oligodendrocytes	6347cc90-f284-41d8-a131-db4a37bd796f.h5ad	6051
487	Publication: https://doi.org/10.1016/j.cell.2020.12.016 Dataset Version: https://datasets.cellxgene.cziscience.com/0bd87ac7-1766-430b-8d9e-f3dfd880eaaf.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e	60358420-6055-411d-ba4f-e8ac80682a2e	Spatiotemporal analysis of human intestinal development at single-cell resolution	10.1016/j.cell.2020.12.016	Fawkner-Corbett et al. (2021) Cell	4506d9e3-4543-4464-aeae-b0b04eee1cea	0bd87ac7-1766-430b-8d9e-f3dfd880eaaf	Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1	4506d9e3-4543-4464-aeae-b0b04eee1cea.h5ad	4992
488	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/0409629a-a98b-49b8-8e84-96810528dacd.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	The Tabula Muris Consortium et al. (2020) Nature	bf12f9c6-4211-4c91-9c71-22019f29f516	0409629a-a98b-49b8-8e84-96810528dacd	Bladder lumen - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	bf12f9c6-4211-4c91-9c71-22019f29f516.h5ad	2432
489	Publication: https://doi.org/10.1096/fj.202300601RRR Dataset Version: https://datasets.cellxgene.cziscience.com/5477e2cb-23b3-4fad-8357-5a2c859b2a7c.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d2684035-a36e-458e-96af-8e37930bfdf6	d2684035-a36e-458e-96af-8e37930bfdf6	Single nucleus and spatial transcriptomic profiling of human healthy hamstring tendon	10.1096/fj.202300601RRR	Mimpen et al. (2024) The FASEB Journal	06ef6b36-6c9b-4e10-8a94-d0baf274276e	5477e2cb-23b3-4fad-8357-5a2c859b2a7c	Single nucleus transcriptomic profiling of human healthy hamstring tendon	06ef6b36-6c9b-4e10-8a94-d0baf274276e.h5ad	10533
490	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/f2b989ab-f582-4ac0-bdc8-d446e2e92820.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	The Tabula Muris Consortium et al. (2020) Nature	a6626b73-a0de-4dee-99aa-2559ab05af11	f2b989ab-f582-4ac0-bdc8-d446e2e92820	Gonadal fat pad — A single-cell transcriptomic atlas characterizes ageing tissues in the mouse	a6626b73-a0de-4dee-99aa-2559ab05af11.h5ad	3406
491	Publication: https://doi.org/10.1038/s41588-023-01435-6 Dataset Version: https://datasets.cellxgene.cziscience.com/a5c8f727-4001-44c8-ad60-e5c775be8c4b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d74b6979-efba-47cd-990a-9d80ccf29055	d74b6979-efba-47cd-990a-9d80ccf29055	Spatial transcriptomic maps of whole mouse embryos reveal principles of neural tube patterning	10.1038/s41588-023-01435-6	Sampath Kumar et al. (2023) Nat Genet	52069da9-5f98-4ae3-8b2f-514afe3ca00f	a5c8f727-4001-44c8-ad60-e5c775be8c4b	E9.5: 201112_02	52069da9-5f98-4ae3-8b2f-514afe3ca00f.h5ad	16931
492	Publication: https://doi.org/10.1038/s41588-023-01435-6 Dataset Version: https://datasets.cellxgene.cziscience.com/79d28673-6bc1-477c-91cc-d23450b6225a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d74b6979-efba-47cd-990a-9d80ccf29055	d74b6979-efba-47cd-990a-9d80ccf29055	Spatial transcriptomic maps of whole mouse embryos reveal principles of neural tube patterning	10.1038/s41588-023-01435-6	Sampath Kumar et al. (2023) Nat Genet	77126551-868a-48de-ac09-480482518c91	79d28673-6bc1-477c-91cc-d23450b6225a	E9.5: 201104_37	77126551-868a-48de-ac09-480482518c91.h5ad	14758
493	Publication: https://doi.org/10.1073/pnas.2313326120 Dataset Version: https://datasets.cellxgene.cziscience.com/d6b976b8-0ad9-4e01-9ab2-62c1474f7bd3.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8	34f12de7-c5e5-4813-a136-832677f98ac8	Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma	10.1073/pnas.2313326120	Ganier et al. (2024) Proc. Natl. Acad. Sci. U.S.A.	14363b6e-3428-45b0-8704-10fd5d6316df	d6b976b8-0ad9-4e01-9ab2-62c1474f7bd3	Epithelial bcc and normal_scRNAseq	14363b6e-3428-45b0-8704-10fd5d6316df.h5ad	9841
494	Publication: https://doi.org/10.1371/journal.pbio.3000704 Dataset Version: https://datasets.cellxgene.cziscience.com/f422b23f-b1bd-414b-b22a-579aad7d1c4d.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/ce5b6795-dace-408b-b26b-2ab752c3e20d	ce5b6795-dace-408b-b26b-2ab752c3e20d	Single-cell mapping of lymphatic endothelial cells in lymph nodes	10.1371/journal.pbio.3000704	Fujimoto et al. (2020) PLoS Biol	653c66ca-527b-4cb2-a023-a63764c1289a	f422b23f-b1bd-414b-b22a-579aad7d1c4d	Lymphatic endothelial cells isolated from healthy, inguinal lymph nodes	653c66ca-527b-4cb2-a023-a63764c1289a.h5ad	893
495	Publication: https://doi.org/10.1038/s41586-024-07944-6 Dataset Version: https://datasets.cellxgene.cziscience.com/0a25e4bd-3120-4d1c-85c2-7903f84524a6.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fc19ae6c-d7c1-4dce-b703-62c5d52061b4	fc19ae6c-d7c1-4dce-b703-62c5d52061b4	A spatial human thymus cell atlas mapped to a continuous tissue axis	10.1038/s41586-024-07944-6	Yayon et al. (2024) Nature	577b8c6e-892b-4d62-b140-1fdca940a649	0a25e4bd-3120-4d1c-85c2-7903f84524a6	thymus scRNA-seq atlas - vascular cell subset	577b8c6e-892b-4d62-b140-1fdca940a649.h5ad	26313
496	Publication: https://doi.org/10.3389/fdmed.2021.806294 Dataset Version: https://datasets.cellxgene.cziscience.com/7bfc70f2-2390-4f2a-82a2-de71205e435f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/bd3f7d45-43a0-4944-8327-62d6c89e2ae1	bd3f7d45-43a0-4944-8327-62d6c89e2ae1	Single-Cell Transcriptomic Profiling of Human Dental Pulp in Sound and Carious Teeth: A Pilot Study	10.3389/fdmed.2021.806294	Opasawatchai et al. (2022) Front. Dent. Med	bdd109f1-ca27-45dc-bb9f-473008449428	7bfc70f2-2390-4f2a-82a2-de71205e435f	scRNA-seq data of human dental pulp	bdd109f1-ca27-45dc-bb9f-473008449428.h5ad	6560
497	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/425c6644-8204-4505-a44f-d54e3128880d.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	The Tabula Muris Consortium et al. (2020) Nature	c2878000-d3f0-4d30-9a8a-2139a13c72f8	425c6644-8204-4505-a44f-d54e3128880d	Subcutaneous adipose tissue — A single-cell transcriptomic atlas characterizes ageing tissues in the mouse	c2878000-d3f0-4d30-9a8a-2139a13c72f8.h5ad	3755
498	Publication: https://doi.org/10.1038/s41467-020-19737-2 Dataset Version: https://datasets.cellxgene.cziscience.com/dfb2d1d9-d137-403a-99b5-729b7b25ccc3.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fcb3d1c1-03d2-41ac-8229-458e072b7a1c	fcb3d1c1-03d2-41ac-8229-458e072b7a1c	Live Human Microglia Single-cell RNA-seq	10.1038/s41467-020-19737-2	Olah et al. (2020) Nat Commun	a1b9c51e-a408-4f7f-bccb-abefe20ae2a5	dfb2d1d9-d137-403a-99b5-729b7b25ccc3	Olah et al (2020) Single-cell Human Microglia	a1b9c51e-a408-4f7f-bccb-abefe20ae2a5.h5ad	16245
499	Publication: https://doi.org/10.1016/j.cell.2020.12.016 Dataset Version: https://datasets.cellxgene.cziscience.com/7800ea19-eb17-4af9-bf6e-700a2fd99531.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e	60358420-6055-411d-ba4f-e8ac80682a2e	Spatiotemporal analysis of human intestinal development at single-cell resolution	10.1016/j.cell.2020.12.016	Fawkner-Corbett et al. (2021) Cell	2d66790a-6621-4a49-8f0d-4002db5cc98d	7800ea19-eb17-4af9-bf6e-700a2fd99531	Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8	2d66790a-6621-4a49-8f0d-4002db5cc98d.h5ad	4992
500	Publication: https://doi.org/10.1016/j.cell.2020.12.016 Dataset Version: https://datasets.cellxgene.cziscience.com/feac32f0-0c00-46ff-a18c-6e4883dc19e6.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e	60358420-6055-411d-ba4f-e8ac80682a2e	Spatiotemporal analysis of human intestinal development at single-cell resolution	10.1016/j.cell.2020.12.016	Fawkner-Corbett et al. (2021) Cell	9dfd2243-74d6-4924-86bd-c206ca9287b1	feac32f0-0c00-46ff-a18c-6e4883dc19e6	Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A2	9dfd2243-74d6-4924-86bd-c206ca9287b1.h5ad	4992
501	Publication: https://doi.org/10.1038/s41593-022-01061-1 Dataset Version: https://datasets.cellxgene.cziscience.com/2d6a777f-8b44-4164-b141-fd9c1776346a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b0f0b447-ac37-45b0-b1bf-5c0b7d871120	b0f0b447-ac37-45b0-b1bf-5c0b7d871120	Single-cell genomic profiling of human dopamine neurons identifies a population that selectively degenerates in Parkinson’s disease	10.1038/s41593-022-01061-1	Kamath et al. (2022) Nat Neurosci	f5be4b96-f5a3-4c3d-84ac-6f69daf744d5	2d6a777f-8b44-4164-b141-fd9c1776346a	Human Endothelial cells 10x scRNA-seq	f5be4b96-f5a3-4c3d-84ac-6f69daf744d5.h5ad	14903
502	Publication: https://doi.org/10.1038/s41588-023-01435-6 Dataset Version: https://datasets.cellxgene.cziscience.com/400318e3-9f2c-49e3-be92-3e33224a5cb9.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d74b6979-efba-47cd-990a-9d80ccf29055	d74b6979-efba-47cd-990a-9d80ccf29055	Spatial transcriptomic maps of whole mouse embryos reveal principles of neural tube patterning	10.1038/s41588-023-01435-6	Sampath Kumar et al. (2023) Nat Genet	179f3dd0-b3b5-4e98-9163-9c628896bb28	400318e3-9f2c-49e3-be92-3e33224a5cb9	E9.5: 201112_03	179f3dd0-b3b5-4e98-9163-9c628896bb28.h5ad	16761
503	Publication: https://doi.org/10.1038/s41588-021-00911-1 Dataset Version: https://datasets.cellxgene.cziscience.com/c76d47b3-2be7-487a-bbc7-7464c8e8d3d3.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/dea97145-f712-431c-a223-6b5f565f362a	dea97145-f712-431c-a223-6b5f565f362a	A single-cell and spatially resolved atlas of human breast cancers	10.1038/s41588-021-00911-1	Wu et al. (2021) Nat Genet	11a3244a-6b2f-43ca-95a5-d2cd95c482d2	c76d47b3-2be7-487a-bbc7-7464c8e8d3d3	A single-cell and spatially-resolved atlas of human breast cancers - Myeloid	11a3244a-6b2f-43ca-95a5-d2cd95c482d2.h5ad	9675
504	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/7172d260-bc52-466d-9c26-2e3ab9a23974.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	Siletti et al. (2023) Science	8039c63d-08b0-4fc9-af0f-5b57f08ca0da	7172d260-bc52-466d-9c26-2e3ab9a23974	Dissection: Perirhinal cortex (area 35) (A35) - rostral subdivision of area 35 - A35r	8039c63d-08b0-4fc9-af0f-5b57f08ca0da.h5ad	17535
505	Publication: https://doi.org/10.1038/s42003-020-0922-4 Dataset Version: https://datasets.cellxgene.cziscience.com/bea5aacc-7625-4d7c-a3bd-88f9f9cdcec2.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/c353707f-09a4-4f12-92a0-cb741e57e5f0	c353707f-09a4-4f12-92a0-cb741e57e5f0	Single-cell transcriptomes of the human skin reveal age-related loss of fibroblast priming	10.1038/s42003-020-0922-4	Solé-Boldo et al. (2020) Commun Biol	124744b8-4681-474a-9894-683896122708	bea5aacc-7625-4d7c-a3bd-88f9f9cdcec2	Single-cell transcriptomes of the human skin reveal age-related loss of fibroblast priming	124744b8-4681-474a-9894-683896122708.h5ad	15457
506	Publication: https://doi.org/10.1038/s41591-024-03215-z Dataset Version: https://datasets.cellxgene.cziscience.com/b1b8eeb6-2c25-4456-975b-4546c432b13f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a96133de-e951-4e2d-ace6-59db8b3bfb1d	a96133de-e951-4e2d-ace6-59db8b3bfb1d	HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment	10.1038/s41591-024-03215-z	Klughammer et al. (2024) Nat Med	cd6398a9-c0af-4467-9091-c536866535bd	b1b8eeb6-2c25-4456-975b-4546c432b13f	HTAPP-944-SMP-7479 scRNA-seq	cd6398a9-c0af-4467-9091-c536866535bd.h5ad	10016
507	Publication: https://doi.org/10.1038/s41588-023-01435-6 Dataset Version: https://datasets.cellxgene.cziscience.com/c8163fde-16ff-4e20-a5b7-5b2c0f2b114d.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d74b6979-efba-47cd-990a-9d80ccf29055	d74b6979-efba-47cd-990a-9d80ccf29055	Spatial transcriptomic maps of whole mouse embryos reveal principles of neural tube patterning	10.1038/s41588-023-01435-6	Sampath Kumar et al. (2023) Nat Genet	0e1e3573-d3b7-43f1-84a3-03067f1137aa	c8163fde-16ff-4e20-a5b7-5b2c0f2b114d	E9.5: 201104_31	0e1e3573-d3b7-43f1-84a3-03067f1137aa.h5ad	15516
508	Publication: https://doi.org/10.1038/s41586-024-07944-6 Dataset Version: https://datasets.cellxgene.cziscience.com/50a91656-d733-4cfb-92f8-bc24efdf8f30.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fc19ae6c-d7c1-4dce-b703-62c5d52061b4	fc19ae6c-d7c1-4dce-b703-62c5d52061b4	A spatial human thymus cell atlas mapped to a continuous tissue axis	10.1038/s41586-024-07944-6	Yayon et al. (2024) Nature	8941ecc9-05f8-431d-9a32-0baaf3f145ea	50a91656-d733-4cfb-92f8-bc24efdf8f30	thymus visium sample WSSS_F_IMMsp11604688	8941ecc9-05f8-431d-9a32-0baaf3f145ea.h5ad	4992
509	Publication: https://doi.org/10.1038/s41586-024-07944-6 Dataset Version: https://datasets.cellxgene.cziscience.com/d4d1e624-eaf7-4c7e-a796-dc6c5acaebdb.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fc19ae6c-d7c1-4dce-b703-62c5d52061b4	fc19ae6c-d7c1-4dce-b703-62c5d52061b4	A spatial human thymus cell atlas mapped to a continuous tissue axis	10.1038/s41586-024-07944-6	Yayon et al. (2024) Nature	7e7b7257-5a43-40bd-8711-32b84dde074d	d4d1e624-eaf7-4c7e-a796-dc6c5acaebdb	thymus visium sample WSSS_F_IMMsp11604685	7e7b7257-5a43-40bd-8711-32b84dde074d.h5ad	4992
510	Publication: https://doi.org/10.1016/j.celrep.2023.111994 Dataset Version: https://datasets.cellxgene.cziscience.com/8373dc5a-f206-4480-9005-3d938adff44b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/6d203948-a779-4b69-9b3f-1ee1dadc3980	6d203948-a779-4b69-9b3f-1ee1dadc3980	Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin	10.1016/j.celrep.2023.111994	Wiedemann et al. (2023) Cell Reports	f1f123cc-ca2c-460f-b7f1-88240efb1e82	8373dc5a-f206-4480-9005-3d938adff44b	UMAP visualization of keratinocyte subclusters	f1f123cc-ca2c-460f-b7f1-88240efb1e82.h5ad	9471
511	Publication: https://doi.org/10.1073/pnas.2313326120 Dataset Version: https://datasets.cellxgene.cziscience.com/22d34cde-87e7-4226-ace7-5eb3b85d54b4.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8	34f12de7-c5e5-4813-a136-832677f98ac8	Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma	10.1073/pnas.2313326120	Ganier et al. (2024) Proc. Natl. Acad. Sci. U.S.A.	c68e6ac8-c4d8-4869-ba08-9d157e4c06f8	22d34cde-87e7-4226-ace7-5eb3b85d54b4	Visium spatial - face_temple1b	c68e6ac8-c4d8-4869-ba08-9d157e4c06f8.h5ad	4992
512	Publication: https://doi.org/10.1038/s41586-024-07944-6 Dataset Version: https://datasets.cellxgene.cziscience.com/d94b7b7e-bea3-4110-a373-f7a715628f14.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fc19ae6c-d7c1-4dce-b703-62c5d52061b4	fc19ae6c-d7c1-4dce-b703-62c5d52061b4	A spatial human thymus cell atlas mapped to a continuous tissue axis	10.1038/s41586-024-07944-6	Yayon et al. (2024) Nature	35d08a93-c6d2-4954-9a14-3710c331d28c	d94b7b7e-bea3-4110-a373-f7a715628f14	thymus visium sample WSSS_F_IMMsp11604687	35d08a93-c6d2-4954-9a14-3710c331d28c.h5ad	4992
513	Publication: https://doi.org/10.1038/s41467-019-11036-9 Dataset Version: https://datasets.cellxgene.cziscience.com/2afef4bd-99af-41f4-b507-f80718b6a8ef.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/2902f08c-f83c-470e-a541-e463e25e5058	2902f08c-f83c-470e-a541-e463e25e5058	Single-cell reconstruction of follicular remodeling in the human adult ovary	10.1038/s41467-019-11036-9	Fan et al. (2019) Nat Commun	1f1c5c14-5949-4c81-b28e-b272e271b672	2afef4bd-99af-41f4-b507-f80718b6a8ef	Single-cell reconstruction of follicular remodeling in the human adult ovary	1f1c5c14-5949-4c81-b28e-b272e271b672.h5ad	20676
514	Publication: https://doi.org/10.1038/s41586-024-07944-6 Dataset Version: https://datasets.cellxgene.cziscience.com/5621f27c-e220-427f-a643-2584fdfced65.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fc19ae6c-d7c1-4dce-b703-62c5d52061b4	fc19ae6c-d7c1-4dce-b703-62c5d52061b4	A spatial human thymus cell atlas mapped to a continuous tissue axis	10.1038/s41586-024-07944-6	Yayon et al. (2024) Nature	5d2733c4-f91c-448b-a234-fbce0f46d4b9	5621f27c-e220-427f-a643-2584fdfced65	thymus visium sample WSSS_F_IMMsp11604686	5d2733c4-f91c-448b-a234-fbce0f46d4b9.h5ad	4992
515	Publication: https://doi.org/10.1038/s41593-022-01061-1 Dataset Version: https://datasets.cellxgene.cziscience.com/f5369070-f44c-46b2-b058-5762c9a561d8.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b0f0b447-ac37-45b0-b1bf-5c0b7d871120	b0f0b447-ac37-45b0-b1bf-5c0b7d871120	Single-cell genomic profiling of human dopamine neurons identifies a population that selectively degenerates in Parkinson’s disease	10.1038/s41593-022-01061-1	Kamath et al. (2022) Nat Neurosci	4dd1cd23-fc4d-4fd1-9709-602540f3ca6f	f5369070-f44c-46b2-b058-5762c9a561d8	Human OPC Cells 10x scRNA-seq	4dd1cd23-fc4d-4fd1-9709-602540f3ca6f.h5ad	13691
516	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/4ba6a79f-3b7c-4ee4-8f9e-7fdf09b283a3.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	The Tabula Muris Consortium et al. (2020) Nature	bc7466d7-ff13-4ff2-9c3d-7a1d208bd492	4ba6a79f-3b7c-4ee4-8f9e-7fdf09b283a3	Mammary gland - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	bc7466d7-ff13-4ff2-9c3d-7a1d208bd492.h5ad	3282
517	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/934fefa2-e94c-4806-94b2-440ec1c5a71e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	The Tabula Muris Consortium et al. (2020) Nature	1a0610d8-1339-479b-b261-7fb586c3dab9	934fefa2-e94c-4806-94b2-440ec1c5a71e	Trachea - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x	1a0610d8-1339-479b-b261-7fb586c3dab9.h5ad	7976
518	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/e3f2b99b-695d-47ad-9488-b33bc2c4546c.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	Siletti et al. (2023) Science	ed11cc3e-2947-407c-883c-c53b043917c3	e3f2b99b-695d-47ad-9488-b33bc2c4546c	Dissection: Thalamus (THM) - Lateral nuclear complex (LNC) - ventral anterior nucleus of thalamus - VA	ed11cc3e-2947-407c-883c-c53b043917c3.h5ad	8573
519	Publication: https://doi.org/10.1038/s41586-021-03465-8 Dataset Version: https://datasets.cellxgene.cziscience.com/80441df6-f327-49ab-9c87-4b18a1b78f6e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/367d95c0-0eb0-4dae-8276-9407239421ee	367d95c0-0eb0-4dae-8276-9407239421ee	Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse	10.1038/s41586-021-03465-8	Bakken et al. (2021) Nature	9b686bb6-1427-4e13-b451-7ee961115cf9	80441df6-f327-49ab-9c87-4b18a1b78f6e	Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse 3-species integration non-nuerons	9b686bb6-1427-4e13-b451-7ee961115cf9.h5ad	1705
520	Publication: https://doi.org/10.1038/s41586-024-07944-6 Dataset Version: https://datasets.cellxgene.cziscience.com/4e26def5-d7a1-4006-879d-09727ac3ca67.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fc19ae6c-d7c1-4dce-b703-62c5d52061b4	fc19ae6c-d7c1-4dce-b703-62c5d52061b4	A spatial human thymus cell atlas mapped to a continuous tissue axis	10.1038/s41586-024-07944-6	Yayon et al. (2024) Nature	8a7c6bd5-1aa0-457e-8be0-b91e9283dd9c	4e26def5-d7a1-4006-879d-09727ac3ca67	thymus visium sample WSSS_F_IMMsp11604690	8a7c6bd5-1aa0-457e-8be0-b91e9283dd9c.h5ad	4992
