cell_type	dataset_title	collection_name	cell_type_ontology_term_id	count
chandelier pvalb GABAergic cortical interneuron	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023036	548
L5 extratelencephalic projecting glutamatergic cortical neuron	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023041	451
L5 extratelencephalic projecting glutamatergic cortical neuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023041	330
caudal ganglionic eminence derived interneuron	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023064	325
sst GABAergic cortical interneuron	SstChodl - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023017	301
L6b glutamatergic cortical neuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023038	296
L5 extratelencephalic projecting glutamatergic cortical neuron	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023041	295
L5 extratelencephalic projecting glutamatergic cortical neuron	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:4023041	256
caudal ganglionic eminence derived interneuron	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023064	243
erythroid lineage cell	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:0000764	239
cerebral cortex endothelial cell	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:1001602	165
L5 extratelencephalic projecting glutamatergic cortical neuron	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023041	158
L5 extratelencephalic projecting glutamatergic cortical neuron	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023041	155
cerebral cortex endothelial cell	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:1001602	141
chandelier pvalb GABAergic cortical interneuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023036	137
vascular leptomeningeal cell	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023051	113
vascular leptomeningeal cell	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023051	107
cerebral cortex endothelial cell	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:1001602	102
cerebral cortex endothelial cell	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:1001602	97
cerebral cortex endothelial cell	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:1001602	94
vascular leptomeningeal cell	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023051	92
vascular leptomeningeal cell	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023051	89
vascular leptomeningeal cell	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023051	86
myeloid cell	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:0000763	81
endothelial cell	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000115	70
caudal ganglionic eminence derived interneuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023064	66
B cell	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:0000236	53
sncg GABAergic cortical interneuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023015	50
pericyte	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000669	32
oligodendrocyte	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000128	13
vascular leptomeningeal cell	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023051	11
astrocyte of the cerebral cortex	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0002605	10
microglial cell	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000129	8
vascular leptomeningeal cell	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023051	3
oligodendrocyte precursor cell	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0002453	3
cerebral cortex endothelial cell	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:1001602	3
