author_cell_type	cell_type	dataset_title	collection_name	cell_type_ontology_term_id	count
CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000625	104
medium spiny neuron	medium spiny neuron	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:1001474	103
neural stem cell	neural stem cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000047	97
L2/3	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	94
L6a1	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	80
L6 IT ENTl	L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023050	78
Ndnf	GABAergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000617	78
Sst_Nr2f2	GABAergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000617	69
T cell	T cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000084	67
InN-Chat	inhibitory interneuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000498	65
L5a2	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	59
Micro	microglial cell	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000129	55
ependymal cell	ependymal cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000065	55
Bergmann glial cell	Bergmann glial cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000644	54
Astrocyte	astrocyte	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000127	50
L5 PPP	L5 extratelencephalic projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023041	49
SMC	smooth muscle cell	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000192	47
L5a	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	43
Oligodendrocyte	oligodendrocyte	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000128	42
L2 IT ENTm	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	42
Sst_Chodl	GABAergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000617	40
L6b	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	39
Endo-2	endothelial cell	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000115	39
CR	Cajal-Retzius cell	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000695	38
Sst_Cbln4	GABAergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000617	38
L5b	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	35
L6a2	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	27
OPC	oligodendrocyte precursor cell	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0002453	24
Microglia	microglial cell	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000129	22
Endothelial	endothelial cell	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000115	21
Meis2	meis2 expressing cortical GABAergic cell	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023065	20
CA2-IG-FC	hippocampal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0002608	19
mature NK T cell	mature NK T cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000814	17
CR	glutamatergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000679	16
Sst_Clstn2	GABAergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000617	14
Th	GABAergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000617	14
L5b1	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	13
L6a	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	12
L2/3_Syt10	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	12
L5b2	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	12
Unknown	unknown	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	unknown	10
Sst_Nmbr	GABAergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000617	10
L5a1	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	10
Sst	GABAergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000617	7
L5	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	6
L5_Chrna6	glutamatergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000679	3
Chodl	GABAergic neuron	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	CL:0000617	2
